	Neighborhood	ATM	Accessories Store	Adult Boutique	American Restaurant	Antique Shop	Arcade	Argentinian Restaurant	Art Gallery	Art Museum	Arts & Crafts Store	Asian Restaurant	Assisted Living	Athletics & Sports	Auto Garage	Automotive Shop	BBQ Joint	Baby Store	Bagel Shop	Bakery	Bank	Bar	Baseball Field	Basketball Court	Bathing Area	Beach Bar	Bed & Breakfast	Beer Bar	Beer Garden	Beer Store	Big Box Store	Bike Shop	Bookstore	Border Crossing	Botanical Garden	Boutique	Bowling Alley	Boxing Gym	Brazilian Restaurant	Breakfast Spot	Brewery	Bridge	Bubble Tea Shop	Building	Burger Joint	Burrito Place	Bus Line	Bus Station	Bus Stop	Business Service	Butcher	Café	Cajun / Creole Restaurant	Camera Store	Campground	Candy Store	Cantonese Restaurant	Capitol Building	Casino	Cemetery	Cheese Shop	Child Care Service	Chinese Restaurant	Chiropractor	Churrascaria	Climbing Gym	Clothing Store	Cocktail Bar	Coffee Shop	College Basketball Court	College Bookstore	College Gym	College Quad	Comedy Club	Comfort Food Restaurant	Comic Shop	Community Center	Concert Hall	Construction & Landscaping	Convenience Store	Convention Center	Cosmetics Shop	Costume Shop	Coworking Space	Credit Union	Cuban Restaurant	Cupcake Shop	Dance Studio	Daycare	Deli / Bodega	Department Store	Dessert Shop	Diner	Disc Golf	Discount Store	Dive Bar	Dog Run	Donut Shop	Dry Cleaner	Electronics Store	Ethiopian Restaurant	Fabric Shop	Factory	Farm	Farmers Market	Fast Food Restaurant	Flea Market	Flower Shop	Food	Food & Drink Shop	Food Court	Food Stand	Food Truck	Football Stadium	Fountain	French Restaurant	Fried Chicken Joint	Frozen Yogurt Shop	Furniture / Home Store	Gaming Cafe	Garden	Garden Center	Gas Station	Gastropub	Gay Bar	General Entertainment	Gift Shop	Gluten-free Restaurant	Go Kart Track	Golf Course	Gourmet Shop	Greek Restaurant	Grocery Store	Gun Range	Gun Shop	Gym	Gym / Fitness Center	Gym Pool	Gymnastics Gym	Harbor / Marina	Hardware Store	Health & Beauty Service	Health Food Store	Historic Site	History Museum	Hobby Shop	Home Service	Hookah Bar	Hostel	Hotel	Hotel Bar	Hotpot Restaurant	Ice Cream Shop	Indian Restaurant	Insurance Office	Intersection	Irish Pub	Italian Restaurant	Japanese Restaurant	Jewelry Store	Juice Bar	Karaoke Bar	Kids Store	Kitchen Supply Store	Korean Restaurant	Lake	Latin American Restaurant	Laundromat	Light Rail Station	Lighthouse	Lingerie Store	Liquor Store	Lounge	Market	Martial Arts Dojo	Massage Studio	Mattress Store	Medical Center	Medical Supply Store	Mediterranean Restaurant	Men's Store	Mexican Restaurant	Middle Eastern Restaurant	Miscellaneous Shop	Mobile Phone Shop	Motel	Motorcycle Shop	Motorsports Shop	Movie Theater	Moving Target	Multiplex	Museum	Music Store	Music Venue	Nail Salon	Nature Preserve	New American Restaurant	Night Market	Nightclub	Noodle House	Optical Shop	Organic Grocery	Other Event	Other Great Outdoors	Outdoor Sculpture	Outdoor Supply Store	Paper / Office Supplies Store	Park	Pastry Shop	Pawn Shop	Pedestrian Plaza	Performing Arts Venue	Peruvian Restaurant	Pet Service	Pet Store	Pharmacy	Pilates Studio	Pizza Place	Playground	Plaza	Pool	Pool Hall	Print Shop	Pub	Public Art	Rafting	Ramen Restaurant	Record Shop	Recreation Center	Rental Car Location	Rental Service	Restaurant	Rock Club	Rugby Pitch	Salad Place	Salon / Barbershop	Sandwich Place	Scenic Lookout	Science Museum	Seafood Restaurant	Shipping Store	Shoe Store	Shopping Mall	Shopping Plaza	Skate Park	Skating Rink	Smoke Shop	Smoothie Shop	Snack Place	Soccer Field	Soup Place	South American Restaurant	South Indian Restaurant	Southern / Soul Food Restaurant	Spa	Sporting Goods Shop	Sports Bar	Steakhouse	Storage Facility	Student Center	Supermarket	Supplement Shop	Sushi Restaurant	Szechuan Restaurant	Taco Place	Tailor Shop	Taiwanese Restaurant	Tanning Salon	Tapas Restaurant	Tea Room	Tennis Court	Tex-Mex Restaurant	Thai Restaurant	Theater	Theme Park	Thrift / Vintage Store	Toy / Game Store	Track	Track Stadium	Trail	Train Station	Turkish Restaurant	Used Bookstore	Vegetarian / Vegan Restaurant	Video Game Store	Video Store	Vietnamese Restaurant	Volleyball Court	Warehouse Store	Waterfall	Weight Loss Center	Whisky Bar	Wine Bar	Wings Joint	Women's Store	Yoga Studio
0	2nd Street Disrict, Arts District, Brush Park, Congress Ave District, Palm Park, Republic Square Park, South Congress, Warehouse District, Waterloo Park	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6th Street Disrict, 6th Street District, Convention Center District, Downtown, Red River District	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	2	0	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	5	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
2	Alamo Park, Blackland (Rogers-Washington-Holy Cross), Cherrywood, Mt Calvary Cemetery	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Allandale, Rosedale	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
4	Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	4	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	2	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
5	Barrington Oaks, Gateway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Barton Hills, Spyglass-Bartons Bluff (Bartons Bluff-Spyglass), Zilker Metropolitan Park	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	2	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	1	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
7	Battle Bend Springs, East Congress, Garrison Park, South Manchaca, Sweetbriar, West Congress	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	10	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
8	Bratton, Bratton Lane Business Park, Limestone Ridgeapts, Northridge Acres, Prologis, Wells Branch, William Carl Young	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9	Brentwood	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
